arm	round	gop	index	declaredDurationS	segmentBytes	videoPacketCount	unservedForMs	fetchAttempts
1	1	0.5	165	0.768	176156	15	0	1
1	1	0.5	168	1.134	193640	15	0	1
1	1	0.5	169	1.001	190820	15	0	1
1	1	0.5	170	1.034	197400	15	0	1
1	1	0.5	171	1.001	194956	15	0	1
1	1	0.5	172	1.001	197588	15	0	1
1	1	0.5	173	1.001	195896	15	0	1
1	1	0.5	174	1.168	198528	15	0	1
1	1	0.5	175	1.134	192888	15	0	1
1	1	0.5	176	0.868	183488	15	0	1
1	1	0.5	177	1.034	184804	15	0	1
1	1	0.5	178	0.834	176344	15	0	1
1	1	0.5	179	1	187060	15	0	1
1	1	0.5	180	0.867	182360	15	0	1
1	1	0.5	181	0.834	187812	15	0	1
1	1	0.5	182	1.134	199280	15	0	1
1	1	0.5	183	1.101	198716	15	0	1
1	1	0.5	184	1.134	201160	15	0	1
1	1	0.5	185	1.134	200784	15	0	1
1	1	0.5	186	0.999	188000	15	0	1
1	1	0.5	187	1.134	191008	15	0	1
1	1	0.5	188	0.833	175780	15	0	1
1	1	0.5	189	1.101	187436	15	0	1
1	1	0.5	190	1.001	185744	15	0	1
1	1	0.5	191	0.968	194956	15	0	1
1	1	0.5	192	1.001	196836	15	0	1
1	1	0.5	193	1.034	193640	15	0	1
1	1	0.5	194	1.034	196272	15	0	1
1	1	0.5	195	1.034	191948	15	0	1
1	1	0.5	196	1.101	194392	15	0	1
1	1	0.5	197	0.833	185744	15	0	1
1	1	0.5	198	0.834	180668	15	0	1
1	1	0.5	199	0.834	178036	15	0	1
1	1	0.5	200	1.134	193640	15	0	1
1	1	0.5	201	1.034	199280	15	0	1
1	1	0.5	203	1.134	204168	15	0	1
1	1	0.5	204	0.867	186308	15	0	1
1	1	0.5	205	0.768	186496	15	0	1
1	1	0.5	206	0.899	184052	15	0	1
1	1	0.5	208	0.768	173148	15	0	1
1	1	0.5	209	0.733	179916	15	0	1
1	1	0.5	210	1	187248	15	0	1
1	1	0.5	211	1.034	193076	15	0	1
1	1	0.5	212	0.866	189128	15	0	1
1	1	0.5	213	0.834	188000	15	0	1
1	1	0.5	214	0.834	188752	15	0	1
1	1	0.5	216	0.968	195520	15	0	1
1	1	0.5	217	0.867	185932	15	0	1
1	1	0.5	218	1	191948	15	0	1
1	1	0.5	219	1	192888	15	0	1
1	1	0.5	220	1.1	189128	15	0	1
1	1	0.5	221	0.867	178788	15	0	1
1	1	0.5	222	0.667	171456	15	0	1
1	1	0.5	223	1.001	194956	15	0	1
1	1	0.5	224	1.001	198152	15	0	1
1	1	0.5	225	0.834	182924	15	0	1
1	1	0.5	226	0.834	181984	15	0	1
1	1	0.5	227	1	196648	15	0	1
1	1	0.5	228	0.9	193828	15	0	1
1	1	0.5	229	0.901	184992	15	0	1
1	1	0.5	230	0.868	184992	15	0	1
1	1	0.5	232	0.834	169952	15	0	1
1	1	0.5	233	0.967	182548	15	0	1
1	1	0.5	234	1.068	195144	15	0	1
1	1	0.5	235	1.034	197776	15	0	1
1	1	0.5	236	0.968	193828	15	0	1
1	1	0.5	237	0.967	186496	15	0	1
1	1	0.5	238	0.834	184616	15	0	1
1	1	0.5	239	0.834	192888	15	0	1
1	1	0.5	241	1.001	195520	15	0	1
1	1	0.5	242	1.001	195896	15	0	1
1	1	0.5	244	0.768	178412	15	0	1
1	1	0.5	245	0.667	177472	15	0	1
1	1	0.5	246	0.901	195708	15	0	1
1	1	0.5	247	1.001	202476	15	0	1
1	1	0.5	248	1.134	206800	15	0	1
1	1	0.5	249	0.801	188564	15	0	1
1	1	0.5	250	1.034	197964	15	0	1
1	1	0.5	251	0.733	172960	15	0	1
1	1	0.5	252	0.834	181796	15	0	1
1	1	0.5	253	0.834	176156	15	0	1
1	1	0.5	255	0.699	167696	15	0	1
1	1	0.5	256	0.8	188564	15	0	1
1	1	0.5	257	1.067	206800	15	0	1
1	1	0.5	258	1.034	194768	15	0	1
1	1	0.5	259	0.834	185744	15	0	1
1	1	0.5	260	0.8	179728	15	0	1
1	1	0.5	261	0.799	181608	15	0	1
1	1	0.5	262	1	194956	15	0	1
1	1	0.5	263	0.733	184616	15	0	1
1	1	0.5	264	0.899	189880	15	0	1
1	1	0.5	265	1	193076	15	0	1
1	1	0.5	266	0.867	179540	15	0	1
1	1	0.5	267	0.968	182360	15	0	1
1	1	0.5	268	0.901	189128	15	0	1
1	1	0.5	269	0.868	189316	15	0	1
1	1	0.5	271	0.834	186496	15	0	1
1	1	0.5	272	0.866	190256	15	0	1
1	1	0.5	273	0.834	184804	15	0	1
1	1	0.5	274	0.834	184804	15	0	1
1	1	0.5	275	1.034	191572	15	0	1
1	1	0.5	276	0.834	177284	15	0	1
1	1	0.5	277	1.134	188188	15	0	1
